rpm,rad/sec,Torque (lb*ft),Power (hp),Torque (Nm),Power (kW)
0,0.0,22.25,0,30.16694935,0
100,10.5,24.6825,0.4699638233,33.46497651,0.3504444144
200,20.9,27.08,1.0312262,36.71555004,0.7689686817
300,31.4,29.4425,1.68178789,39.91866994,1.254082002
400,41.9,31.77,2.419649657,43.07433622,1.804293576
500,52.4,34.0625,3.242812262,46.18254886,2.418112603
600,62.8,36.32,4.149276466,49.24330788,3.094048285
700,73.3,38.5425,5.137043031,52.25661327,3.830609821
800,83.8,40.73,6.204112719,55.22246503,4.626306412
900,94.2,42.8825,7.348486291,58.14086317,5.479647257
1000,104.7,45,8.568164509,61.01180767,6.389141558
1100,115.2,47.0825,9.861148134,63.83529855,7.353298514
1200,125.7,49.13,11.22543793,66.6113358,8.370627326
1300,136.1,51.1425,12.65903465,69.33991942,9.439637195
1400,146.6,53.12,14.15993907,72.02104941,10.55883732
1500,157.1,55.0625,15.72615194,74.65472578,11.7267369
1600,167.6,56.97,17.35567403,77.24094851,12.94184514
1700,178.0,58.8425,19.04650609,79.77971762,14.20267124
1800,188.5,60.68,20.7966489,82.2710331,15.50772439
1900,199.0,62.4825,22.6041032,84.71489495,16.8555138
2000,209.4,64.25,24.46686976,87.11130318,18.24454867
2100,219.9,65.9825,26.38294935,89.46025777,19.6733382
2200,230.4,67.68,28.35034273,91.76175874,21.14039159
2300,240.9,69.3425,30.36705065,94.01580608,22.64421803
2400,251.3,70.97,32.43107388,96.22239979,24.18332674
2500,261.8,72.5625,34.54041318,98.38153987,25.7562269
2600,272.3,74.12,36.69306931,100.4932263,27.36142773
2700,282.7,75.6425,38.88704303,102.5574592,28.99743842
2800,293.2,77.13,41.12033511,104.5742384,30.66276816
2900,303.7,78.5825,43.39094631,106.5435639,32.35592617
3000,314.2,80,45.69687738,108.4654359,34.07542164
3100,324.6,81.3825,48.03612909,110.3398542,35.81976377
3200,335.1,82.73,50.40670221,112.1668189,37.58746177
3300,345.6,84.0425,52.80659749,113.9463299,39.37702482
3400,356.0,85.32,55.23381569,115.6783873,41.18696214
3500,366.5,86.5625,57.68635758,117.3629911,43.01578292
3600,377.0,87.77,60.16222391,119.0001413,44.86199636
3700,387.5,88.9425,62.65941546,120.5898379,46.72411167
3800,397.9,90.08,65.17593298,122.1320808,48.60063804
3900,408.4,91.1825,67.70977723,123.6268701,50.49008467
4000,418.9,92.25,70.25894897,125.0742057,52.39096077
4100,429.4,93.2825,72.82144897,126.4740878,54.30177554
4200,439.8,94.28,75.39527799,127.8265162,56.22103817
4300,450.3,95.2425,77.97843679,129.1314909,58.14725786
4400,460.8,96.17,80.56892612,130.3890121,60.07894382
4500,471.2,97.0625,83.16474676,131.5990796,62.01460525
4600,481.7,97.92,85.76389947,132.7616935,63.95275134
4700,492.2,98.7425,88.364385,133.8768538,65.89189129
4800,502.7,99.53,90.96420411,134.9445604,67.83053432
4900,513.1,100.2825,93.56135758,135.9648134,69.76718961
5000,523.6,101,96.15384615,136.9376128,71.70036637
5100,534.1,101.6825,98.7396706,137.8629585,73.6285738
5200,544.5,102.33,101.3168317,138.7408506,75.55032109
5300,555.0,102.9425,103.8833302,139.5712891,77.46411746
5400,565.5,103.52,106.4371668,140.354274,79.36847209
5500,576.0,104.0625,108.9763423,141.0898052,81.26189419
5600,586.4,104.57,111.4988576,141.7778829,83.14289296
5700,596.9,105.0425,114.0027133,142.4185068,85.0099776
5800,607.4,105.48,116.4859101,143.0116772,86.86165731
5900,617.8,105.8825,118.946449,143.5573939,88.69644129
6000,628.3,106.25,121.3823305,144.055657,90.51283874
6100,638.8,106.5825,123.7915556,144.5064665,92.30935886
6200,649.3,106.88,126.1721249,144.9098223,94.08451085
6300,659.7,107.1425,128.5220392,145.2657245,95.83680391
6400,670.2,107.37,130.8392993,145.5741731,97.56474724
6500,680.7,107.5625,133.1219059,145.8351681,99.26685005
6600,691.2,107.72,135.3678599,146.0487094,100.9416215
6700,701.6,107.8425,137.5751618,146.2147971,102.5875709
6800,712.1,107.93,139.7418126,146.3334312,104.2032073
6900,722.6,107.9825,141.865813,146.4046116,105.78704
7000,733.0,108,143.9451637,146.4283384,107.3375782
7100,743.5,107.9825,145.9778656,146.4046116,108.853331
7200,754.0,107.93,147.9619193,146.3334312,110.3328077
7300,764.5,107.8425,149.8953256,146.2147971,111.7745175
7400,774.9,107.72,151.7760853,146.0487094,113.1769696
7500,785.4,107.5625,153.6021992,145.8351681,114.5386731
7600,795.9,107.37,155.3716679,145.5741731,115.8581374
7700,806.3,107.1425,157.0824924,145.2657245,117.1338714
7800,816.8,106.88,158.7326733,144.9098223,118.3643846
7900,827.3,106.5825,160.3202113,144.5064665,119.5481861
8000,837.8,106.25,161.8431074,144.055657,120.683785
8100,848.2,105.8825,163.2993621,143.5573939,121.7696906
8200,858.7,105.48,164.6869764,143.0116772,122.8044121
8300,869.2,105.0425,166.0039509,142.4185068,123.7864586
8400,879.6,104.57,167.2482864,141.7778829,124.7143394
8500,890.1,104.0625,168.4179836,141.0898052,125.5865637
8600,900.6,103.52,169.5110434,140.354274,126.4016407
8700,911.1,102.9425,170.5254665,139.5712891,127.1580796
8800,921.5,102.33,171.4592536,138.7408506,127.8543895
8900,932.0,101.6825,172.3104056,137.8629585,128.4890798
9000,942.5,101,173.0769231,136.9376128,129.0606595
9100,952.9,100.2825,173.7568069,135.9648134,129.5676378
9200,963.4,99.53,174.3480579,134.9445604,130.0085241
9300,973.9,98.7425,174.8486767,133.8768538,130.3818275
9400,984.4,97.92,175.2566641,132.7616935,130.6860571
9500,994.8,97.0625,175.5700209,131.5990796,130.9197222
9600,1005.3,96.17,175.7867479,130.3890121,131.081332
9700,1015.8,95.2425,175.9048458,129.1314909,131.1693956
9800,1026.3,94.28,175.9223153,127.8265162,131.1824224
